"url","Column 1","Pas 1","Pas 1_alt","Pas 2","Pas 2_link","Pas 3","Col 1","Col 2","Col 3","Total"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","27","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Sweden.svg/22px-Flag_of_Sweden.svg.png","Suecia","Suecia","https://es.wikipedia.org/wiki/Suecia_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(SWE)","1","7","4","12"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","28","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/22px-Flag_of_New_Zealand.svg.png","Nueva Zelanda","Nueva Zelanda","https://es.wikipedia.org/wiki/Nueva_Zelanda_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(NZL)","1","4","5","10"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","29","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/22px-Flag_of_Finland.svg.png","Finlandia","Finlandia","https://es.wikipedia.org/wiki/Finlandia_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(FIN)","1","2","2","5"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","30","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/22px-Flag_of_Denmark.svg.png","Dinamarca","Dinamarca","https://es.wikipedia.org/wiki/Dinamarca_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(DEN)","1","1","4","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","31","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/22px-Flag_of_Morocco.svg.png","Marruecos","Marruecos","https://es.wikipedia.org/wiki/Marruecos_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(MAR)","1","1","1","3"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","32","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/22px-Flag_of_Ireland.svg.png","Irlanda","Irlanda","https://es.wikipedia.org/wiki/Irlanda_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(IRL)","1","1","0","2"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","33","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Flag_of_Ethiopia_%281991-1996%29.svg/22px-Flag_of_Ethiopia_%281991-1996%29.svg.png","Etiopía","Etiopía","https://es.wikipedia.org/wiki/Etiop%C3%ADa_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(ETH)","1","0","2","3"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","34","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/22px-Flag_of_Algeria.svg.png","Argelia","Argelia","https://es.wikipedia.org/wiki/Argelia_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(ALG)","1","0","1","2"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","34","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/22px-Flag_of_Estonia.svg.png","Estonia","Estonia","https://es.wikipedia.org/wiki/Estonia_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(EST)","1","0","1","2"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","34","https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/22px-Flag_of_Lithuania.svg.png","Lituania","Lituania","https://es.wikipedia.org/wiki/Lituania_en_los_Juegos_Ol%C3%ADmpicos_de_Barcelona_1992","(LTU)","1","0","1","2"
